,Position,Age,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value
0,Centre-Forward,21,Aaron Connolly,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.54,0.54,0.08,0.61,3.06,0.96,31.3%,0.06,0.2,13.4,0.0,0.17,-0.34,-0.34,8.23,10.53,78.2%,113.94,8.81,5.17,6.7,77.1%,2.68,3.06,87.5%,0.19,0.19,100.0%,0.57,0.0,0.0,0.0,0.0,9.77,0.77,0.0,0.0,1.91,0.0,0.19,0.0,0.0,0.0,0.0,6.7,2.49,1.34,1.53,7.47,0.38,0.0,0.57,0.0,0.0,0.38,1.72,1.15,0.96,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.57,0.38,0.38,0.19,0.0,0.57,0.0%,0.57,13.4,4.21,31.4%,0.77,6.51,6.13,1.91,0.19,0.0,0.0,0.96,0.19,0.0,22.4,0.19,1.91,9.0,13.02,4.4,21.64,0.38,0.57,66.7%,0.38,0.0,11.87,71.81,41.94,2.3,0.96,0.57,2.49,0.96,40.98,15.13,36.9%,6.7,0.0,0.38,2.3,0.19,0.0,0.0,0.0,2.87,0.96,3.26,22.7%,€7.00
1,Left-Back,31,Aaron Cresswell,0.02,0.2,0.02,0.0,0.0,0.07,0.0,0.03,0.03,0.16,0.2,0.62,0.1,16.0%,0.04,0.25,22.8,0.32,0.05,-0.01,-0.01,49.11,63.91,76.8%,929.47,423.76,21.52,23.98,89.7%,20.24,23.8,85.0%,6.67,13.81,48.3%,1.67,4.11,0.96,0.37,4.68,50.71,13.19,2.26,0.02,5.49,1.87,2.41,2.56,0.89,1.48,0.07,36.11,12.06,15.73,49.41,3.77,1.38,8.37,0.17,0.44,1.06,1.77,1.01,2.58,1.26,1.13,0.02,0.12,0.05,0.0,0.39,0.12,0.2,0.0,0.05,0.02,0.0,0.89,0.44,0.44,0.39,0.05,0.37,0.89,41.7%,0.52,6.35,2.14,33.7%,3.27,2.46,0.62,1.43,0.42,0.0,1.21,2.09,2.49,0.0,71.27,4.28,21.29,32.42,21.64,0.76,58.05,0.15,0.44,33.3%,0.15,0.0,40.64,185.56,94.16,3.64,1.62,0.12,0.27,0.32,44.43,42.61,95.9%,1.06,0.0,0.52,0.44,0.02,0.0,0.0,0.0,8.49,1.16,0.69,62.7%,€5.00
2,Goalkeeper,26,AarÃ³n Escandell,,,,,0.22,,,,,,,,,,,,,,,,,,25.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.00
3,Attacking Midfield,23,Aaron Herzog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€175Th. Last update: Oct 11, 2021"
4,Left-Back,19,Aaron Hickey,0.21,0.0,0.21,0.0,0.0,0.28,0.07,0.03,0.03,0.02,0.05,0.77,0.42,54.5%,0.27,0.5,23.6,0.0,0.03,0.18,0.18,37.27,44.37,84.0%,597.47,155.69,19.02,20.69,91.9%,15.33,18.18,84.3%,2.37,4.18,56.7%,0.49,1.18,0.28,0.07,1.81,35.67,8.71,0.98,0.0,6.76,0.42,1.18,0.0,0.0,0.0,0.0,30.65,8.5,5.22,22.15,13.24,1.04,7.73,0.07,0.14,0.42,0.91,1.74,1.04,0.91,0.07,0.0,0.0,0.07,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,1.46,0.77,0.84,0.49,0.14,0.56,0.91,61.5%,0.35,13.37,3.69,27.6%,6.41,4.32,2.65,2.3,0.56,0.0,1.04,2.51,1.6,0.0,55.1,3.07,17.69,24.8,16.02,0.84,46.74,1.32,2.09,63.3%,1.53,0.07,35.94,196.58,106.93,4.74,0.91,0.35,0.91,0.84,37.89,33.37,88.1%,2.51,0.0,1.32,2.23,0.0,0.0,0.0,0.0,5.99,0.63,0.84,42.9%,€8.00
5,Attacking Midfield,35,Aaron Hunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€250Th. Last update: Oct 28, 2021"
6,Centre-Back,19,Aaron Kamardin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€150Th. Last update: Oct 15, 2020"
7,Right Winger,34,Aaron Lennon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€1.10
8,Centre-Forward,24,Aaron Leya Iseka,0.31,0.0,0.21,0.1,0.21,0.42,0.0,0.35,0.2,0.07,0.27,1.56,0.52,33.3%,0.13,0.4,15.1,0.0,0.13,-0.04,0.01,13.53,17.9,75.6%,207.57,34.65,7.7,9.36,82.2%,3.95,5.41,73.1%,1.25,1.66,75.0%,1.14,1.04,0.31,0.0,0.94,17.48,0.42,0.0,0.31,5.51,0.21,0.31,0.0,0.0,0.0,0.0,11.65,3.23,3.02,1.66,12.8,0.94,0.0,0.52,0.1,0.42,0.52,0.21,1.77,1.25,0.0,0.21,0.0,0.31,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.73,0.42,0.31,0.21,0.21,0.21,0.94,22.2%,0.73,9.57,2.29,23.9%,0.31,4.27,4.99,0.52,0.31,0.0,0.21,0.94,0.42,0.0,29.13,1.14,3.33,16.65,11.45,2.71,28.51,1.04,1.98,52.6%,1.25,0.0,18.94,77.62,37.98,2.81,1.14,0.83,3.23,1.98,48.9,23.1,47.2%,5.51,0.0,2.39,1.14,0.21,0.0,0.0,0.0,3.12,2.6,3.43,43.1%,€2.20
9,Left-Back,24,AarÃ³n MartÃ­n,0.0,0.11,0.0,0.0,0.0,0.11,0.0,0.02,0.02,0.1,0.11,0.54,0.07,13.3%,0.0,0.0,23.1,0.04,0.03,-0.02,-0.02,37.26,48.72,76.5%,656.88,231.19,17.7,19.59,90.4%,14.69,18.07,81.3%,4.06,9.29,43.8%,1.02,1.96,0.65,0.44,2.5,38.31,10.41,1.2,0.07,4.46,1.02,2.72,1.49,0.65,0.69,0.0,27.57,9.94,11.21,37.15,2.87,0.69,7.73,0.04,0.07,0.65,1.31,1.27,1.38,0.73,0.51,0.0,0.07,0.04,0.04,0.15,0.11,0.04,0.0,0.0,0.0,0.0,2.03,0.87,1.05,0.83,0.15,0.73,1.96,37.0%,1.23,12.33,3.37,27.4%,4.82,5.95,1.56,1.45,0.18,0.0,1.09,3.12,2.47,0.0,57.97,2.47,16.51,27.57,16.61,0.87,47.63,0.87,1.38,63.2%,0.91,0.0,34.28,147.24,77.56,3.74,1.2,0.15,0.54,0.62,37.76,33.45,88.6%,1.89,0.0,1.38,0.76,0.11,0.0,0.0,0.0,6.35,0.73,1.27,36.4%,€4.50
10,Central Midfield,31,Aaron Mooy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€7.50
11,Goalkeeper,23,Aaron Ramsdale,,,,,0.1,,,,,,,,,,,,,,,,,,24.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,€20.00
