,index,Position,Age,Name,Goals,Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG,npxG,xA,npxG+xA,Shots Total,Shots on target,Shots on target %,Goals/Shot,Goals/Shot on target,Average Shot Distance,Shots from free kicks,npxG/Sh,Goals - xG,Non-Penalty Goals - npxG,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes,Live-ball passes,Dead-ball passes,Passes from Free Kicks,Through Balls,Passes Under Pressure,Switches,Crosses,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Ground passes,Low Passes,High Passes,Passes Attempted (Left),Passes Attempted (Right),Passes Attempted (Head),Throw-Ins taken,Passes Attempted (Other),Passes Offside,Passes Out of Bounds,Passes Intercepted,Passes Blocked,Shot-Creating Actions,SCA (PassLive),SCA (PassDead),SCA (Drib),SCA (Sh),SCA (Fld),SCA (Def),Goal-Creating Actions,GCA (PassLive),GCA (PassDead),GCA (Drib),GCA (Sh),GCA (Fld),GCA (Def),Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Contested,% of dribblers tackled,Dribbled Past,Pressures,Successful Pressures,Successful Pressure %,Pressures (Def 3rd),Pressures (Mid 3rd),Pressures (Att 3rd),Blocks,Shots Blocked,Shots Saved,Interceptions,Tkl+Int,Clearances,Errors,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Dribbles Completed,Dribbles Attempted,Successful Dribble %,Players Dribbled Past,Nutmegs,Carries,Total Carrying Distance,Progressive Carrying Distance,Progressive Carries,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Pass Targets,Passes Received,Passes Received %,Progressive Passes Rec,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials won,Aerials lost,% of Aerials Won,Market value
0,0,Centre-Forward,21,Aaron Connolly,0.19,0,0.19,0,0,0,0,0.54,0.54,0.08,0.61,3.06,0.96,31.30%,0.06,0.2,13.4,0,0.17,-0.34,-0.34,8.23,10.53,78.20%,113.94,8.81,5.17,6.7,77.10%,2.68,3.06,87.50%,0.19,0.19,100.00%,0.57,0,0,0,0,9.77,0.77,0,0,1.91,0,0.19,0,0,0,0,6.7,2.49,1.34,1.53,7.47,0.38,0,0.57,0,0,0.38,1.72,1.15,0.96,0,0.19,0,0,0,0,0,0,0,0,0,0,0.96,0.57,0.38,0.38,0.19,0,0.57,0.00%,0.57,13.4,4.21,31.40%,0.77,6.51,6.13,1.91,0.19,0,0,0.96,0.19,0,22.4,0.19,1.91,9,13.02,4.4,21.64,0.38,0.57,66.70%,0.38,0,11.87,71.81,41.94,2.3,0.96,0.57,2.49,0.96,40.98,15.13,36.90%,6.7,0,0.38,2.3,0.19,0,0,0,2.87,0.96,3.26,22.70%,€7.00
1,1,Left-Back,31,Aaron Cresswell,0.02,0.2,0.02,0,0,0.07,0,0.03,0.03,0.16,0.2,0.62,0.1,16.00%,0.04,0.25,22.8,0.32,0.05,-0.01,-0.01,49.11,63.91,76.80%,929.47,423.76,21.52,23.98,89.70%,20.24,23.8,85.00%,6.67,13.81,48.30%,1.67,4.11,0.96,0.37,4.68,50.71,13.19,2.26,0.02,5.49,1.87,2.41,2.56,0.89,1.48,0.07,36.11,12.06,15.73,49.41,3.77,1.38,8.37,0.17,0.44,1.06,1.77,1.01,2.58,1.26,1.13,0.02,0.12,0.05,0,0.39,0.12,0.2,0,0.05,0.02,0,0.89,0.44,0.44,0.39,0.05,0.37,0.89,41.70%,0.52,6.35,2.14,33.70%,3.27,2.46,0.62,1.43,0.42,0,1.21,2.09,2.49,0,71.27,4.28,21.29,32.42,21.64,0.76,58.05,0.15,0.44,33.30%,0.15,0,40.64,185.56,94.16,3.64,1.62,0.12,0.27,0.32,44.43,42.61,95.90%,1.06,0,0.52,0.44,0.02,0,0,0,8.49,1.16,0.69,62.70%,€5.00
2,4,Left-Back,19,Aaron Hickey,0.21,0,0.21,0,0,0.28,0.07,0.03,0.03,0.02,0.05,0.77,0.42,54.50%,0.27,0.5,23.6,0,0.03,0.18,0.18,37.27,44.37,84.00%,597.47,155.69,19.02,20.69,91.90%,15.33,18.18,84.30%,2.37,4.18,56.70%,0.49,1.18,0.28,0.07,1.81,35.67,8.71,0.98,0,6.76,0.42,1.18,0,0,0,0,30.65,8.5,5.22,22.15,13.24,1.04,7.73,0.07,0.14,0.42,0.91,1.74,1.04,0.91,0.07,0,0,0.07,0,0.07,0.07,0,0,0,0,0,1.46,0.77,0.84,0.49,0.14,0.56,0.91,61.50%,0.35,13.37,3.69,27.60%,6.41,4.32,2.65,2.3,0.56,0,1.04,2.51,1.6,0,55.1,3.07,17.69,24.8,16.02,0.84,46.74,1.32,2.09,63.30%,1.53,0.07,35.94,196.58,106.93,4.74,0.91,0.35,0.91,0.84,37.89,33.37,88.10%,2.51,0,1.32,2.23,0,0,0,0,5.99,0.63,0.84,42.90%,€8.00
3,8,Centre-Forward,24,Aaron Leya Iseka,0.31,0,0.21,0.1,0.21,0.42,0,0.35,0.2,0.07,0.27,1.56,0.52,33.30%,0.13,0.4,15.1,0,0.13,-0.04,0.01,13.53,17.9,75.60%,207.57,34.65,7.7,9.36,82.20%,3.95,5.41,73.10%,1.25,1.66,75.00%,1.14,1.04,0.31,0,0.94,17.48,0.42,0,0.31,5.51,0.21,0.31,0,0,0,0,11.65,3.23,3.02,1.66,12.8,0.94,0,0.52,0.1,0.42,0.52,0.21,1.77,1.25,0,0.21,0,0.31,0,0.1,0,0,0.1,0,0,0,0.73,0.42,0.31,0.21,0.21,0.21,0.94,22.20%,0.73,9.57,2.29,23.90%,0.31,4.27,4.99,0.52,0.31,0,0.21,0.94,0.42,0,29.13,1.14,3.33,16.65,11.45,2.71,28.51,1.04,1.98,52.60%,1.25,0,18.94,77.62,37.98,2.81,1.14,0.83,3.23,1.98,48.9,23.1,47.20%,5.51,0,2.39,1.14,0.21,0,0,0,3.12,2.6,3.43,43.10%,€2.20
4,9,Left-Back,24,AarÃ³n MartÃ­n,0,0.11,0,0,0,0.11,0,0.02,0.02,0.1,0.11,0.54,0.07,13.30%,0,0,23.1,0.04,0.03,-0.02,-0.02,37.26,48.72,76.50%,656.88,231.19,17.7,19.59,90.40%,14.69,18.07,81.30%,4.06,9.29,43.80%,1.02,1.96,0.65,0.44,2.5,38.31,10.41,1.2,0.07,4.46,1.02,2.72,1.49,0.65,0.69,0,27.57,9.94,11.21,37.15,2.87,0.69,7.73,0.04,0.07,0.65,1.31,1.27,1.38,0.73,0.51,0,0.07,0.04,0.04,0.15,0.11,0.04,0,0,0,0,2.03,0.87,1.05,0.83,0.15,0.73,1.96,37.00%,1.23,12.33,3.37,27.40%,4.82,5.95,1.56,1.45,0.18,0,1.09,3.12,2.47,0,57.97,2.47,16.51,27.57,16.61,0.87,47.63,0.87,1.38,63.20%,0.91,0,34.28,147.24,77.56,3.74,1.2,0.15,0.54,0.62,37.76,33.45,88.60%,1.89,0,1.38,0.76,0.11,0,0,0,6.35,0.73,1.27,36.40%,€4.50
5,12,Central Midfield,30,Aaron Ramsey,0.2,0.29,0.2,0,0,0.29,0,0.5,0.5,0.27,0.77,2.34,0.98,41.70%,0.08,0.2,13.5,0,0.21,-0.3,-0.3,53.3,60.81,87.60%,953.59,202.84,24.4,27.33,89.30%,21.57,24.21,89.10%,6.64,7.91,84.00%,2.25,4.69,1.76,0.29,4.1,58.76,2.05,0.98,0.1,9.27,1.46,1.56,0.49,0.1,0.39,0,47.64,6.54,6.64,13.96,44.32,1.37,0.29,0.29,0.1,0.29,1.66,0.39,3.9,2.93,0.49,0.2,0.1,0.1,0.1,0.49,0.29,0,0,0,0.1,0.1,1.37,0.68,0.29,0.88,0.2,0.29,1.95,15.00%,1.66,14.35,3.71,25.90%,3.22,7.61,3.51,0.68,0.29,0,0.68,2.05,0.98,0.1,70.09,1.95,11.42,37,26.65,4.59,68.33,1.07,1.66,64.70%,1.07,0.1,53.39,287.28,129.92,6.64,1.66,0.78,1.46,0.59,66.96,57.69,86.20%,6.74,0,2.44,1.56,0.1,0.1,0,0,6.15,0.78,0.88,47.10%,€10.00
6,15,Right-Back,24,Aaron Wan-Bissaka,0.02,0.1,0.02,0,0,0.14,0.02,0.02,0.02,0.06,0.07,0.2,0.08,40.00%,0.1,0.25,15.4,0,0.08,0,0,51.77,60.28,85.90%,797.24,269.84,28.98,31.38,92.40%,19.24,22.02,87.40%,2.54,4.48,56.60%,0.71,2.44,0.83,0.4,3.33,51.75,8.53,0.67,0.02,6.33,0.61,1.71,0,0,0,0,44.14,10.69,5.46,2.68,47.83,1.31,7.86,0.14,0.12,0.42,1.67,2.24,1.51,1.25,0.04,0.08,0.04,0.02,0.08,0.16,0.14,0,0,0.02,0,0,2.52,1.41,1.43,0.73,0.36,0.42,0.93,44.70%,0.52,12.18,3.81,31.30%,5.34,4.68,2.16,2.76,0.52,0.02,2.2,4.72,2.98,0,72.44,3.87,23.78,33.17,20.53,1.07,64.09,1.53,2.32,65.80%,1.59,0.12,46.36,241.81,141.62,5.91,2.1,0.14,0.58,0.81,48.26,44.81,92.80%,2.16,0,0.89,0.71,0.02,0,0.02,0,7.58,1.03,1.01,50.50%,€40.00
7,24,Centre-Back,25,Abdou Diallo,0,0.09,0,0,0,0.09,0,0.01,0.01,0.05,0.07,0.19,0.05,25.00%,0,0,10.5,0,0.08,-0.01,-0.01,60.08,67.25,89.30%,1020.81,391.89,29.97,31.66,94.70%,24.34,26.64,91.40%,5.07,7.6,66.70%,0.28,3.42,0.66,0.23,4.69,60.17,7.08,1.45,0.09,6.14,1.17,1.27,0,0,0,0,52.67,8.44,6.14,52.86,6.75,1.27,5.63,0.09,0.05,0.61,1.55,1.36,0.52,0.47,0,0.05,0,0,0,0.14,0.14,0,0,0,0,0,2.2,1.45,1.13,0.7,0.38,0.84,1.64,51.40%,0.8,11.12,3.66,32.90%,4.36,4.92,1.83,1.78,0.42,0,1.64,3.85,2.2,0.05,77.15,5.77,26.73,41.32,14.54,0.7,70.16,1.59,2.63,60.70%,1.78,0,54.26,254.99,149.33,4.92,1.69,0.14,0.89,0.7,55.72,53.79,96.50%,0.98,0,1.41,0.28,0.05,0,0,0,7.27,1.13,0.52,68.60%,€25.00
8,36,Central Midfield,28,Abdoulaye DoucourÃ©,0.11,0.21,0.11,0,0,0.21,0,0.09,0.09,0.08,0.17,1,0.25,25.00%,0.11,0.43,16.8,0,0.09,0.02,0.02,35.68,42.91,83.10%,634.67,133.98,16.18,19,85.20%,14.86,16.79,88.50%,3.74,4.92,76.10%,0.64,2.74,0.78,0.07,3.03,42.52,0.39,0.36,0.14,8.09,0.57,0.32,0.04,0,0,0,32.54,5.88,4.49,5.2,34.15,2.32,0,0.11,0.11,0.36,1.5,1.25,1.96,1.71,0.04,0.04,0.07,0,0.11,0.32,0.29,0,0.04,0,0,0,2.03,1.25,1,0.89,0.14,0.82,1.92,42.60%,1.11,20.57,5.74,27.90%,8.66,8.13,3.78,1.46,0.21,0,1.6,3.64,1.46,0.04,52.47,2.74,15.04,28.44,12.76,1.6,52.18,0.82,1.43,57.50%,0.86,0.07,32.44,167.56,89.54,3.21,1.43,0.18,1.03,0.93,37.71,32.44,86.00%,2.74,0,1.57,0.75,0.04,0,0,0,11.83,1.5,1.14,56.80%,€25.00
9,41,Defensive Midfield,27,Abdoulaye TourÃ©,0.06,0.06,0.06,0,0,0.11,0,0.09,0.09,0.06,0.15,1.2,0.17,14.30%,0.05,0.33,21.8,0,0.07,-0.03,-0.03,37.34,44.35,84.20%,676.17,144.08,16.22,18.27,88.80%,16.17,19.07,84.80%,4.21,5.69,74.00%,0.63,3.98,0.28,0,3.19,44.12,0.23,0.17,0.11,6.89,0.91,0.34,0,0,0,0,34.1,4.84,5.41,10.25,30.4,2.5,0.06,0.06,0,0.8,1.54,1.42,1.76,1.48,0,0.11,0.06,0.11,0,0.17,0.17,0,0,0,0,0,1.94,1.25,1.02,0.68,0.23,0.63,1.88,33.30%,1.25,17.82,4.55,25.60%,5.07,9.96,2.79,1.71,0.28,0,1.37,3.3,1.94,0,56.07,2.22,10.82,36.15,12.41,1.02,55.84,0.97,1.71,56.70%,1.08,0.11,35.69,163.09,72.58,3.76,1.54,0.11,0.97,0.91,42.35,37.4,88.30%,0.91,0,1.14,1.76,0,0,0.11,0,10.25,1.82,1.25,59.30%,€4.00
