,Age,Foward,Midfielder,Defender,Goals,Assists,npxG+xA,Passes Completed,Key Passes,Passes into Final Third,Live-ball passes,Through Balls,Ground passes,Shot-Creating Actions,Goal-Creating Actions,Tackles Won,Dribblers Tackled,% of dribblers tackled,Successful Pressures,Successful Pressure %,Blocks,Dribbles Completed,Progressive Carries,Dispossessed,Ball Recoveries,Market value
0,21,1,0,0,0.19,0.0,0.61,8.23,0.57,0.0,9.77,0.0,6.7,1.15,0.0,0.57,0.0,0.0,4.21,0.314,1.91,0.38,2.3,0.96,2.87,7.0
1,31,0,0,1,0.02,0.2,0.2,49.11,1.67,4.11,50.71,0.02,36.11,2.58,0.39,0.44,0.37,0.41700000000000004,2.14,0.337,1.43,0.15,3.64,0.32,8.49,5.0
2,19,0,0,1,0.21,0.0,0.05,37.27,0.49,1.18,35.67,0.0,30.65,1.04,0.07,0.77,0.56,0.615,3.69,0.276,2.3,1.32,4.74,0.84,5.99,8.0
3,24,1,0,0,0.31,0.0,0.27,13.53,1.14,1.04,17.48,0.31,11.65,1.77,0.1,0.42,0.21,0.222,2.29,0.239,0.52,1.04,2.81,1.98,3.12,2.2
4,24,0,0,1,0.0,0.11,0.11,37.26,1.02,1.96,38.31,0.07,27.57,1.38,0.15,0.87,0.73,0.37,3.37,0.27399999999999997,1.45,0.87,3.74,0.62,6.35,4.5
5,30,0,1,0,0.2,0.29,0.77,53.3,2.25,4.69,58.76,0.1,47.64,3.9,0.49,0.68,0.29,0.15,3.71,0.259,0.68,1.07,6.64,0.59,6.15,10.0
6,24,0,0,1,0.02,0.1,0.07,51.77,0.71,2.44,51.75,0.02,44.14,1.51,0.16,1.41,0.42,0.447,3.81,0.313,2.76,1.53,5.91,0.81,7.58,40.0
7,25,0,0,1,0.0,0.09,0.07,60.08,0.28,3.42,60.17,0.09,52.67,0.52,0.14,1.45,0.84,0.514,3.66,0.32899999999999996,1.78,1.59,4.92,0.7,7.27,25.0
8,28,0,1,0,0.11,0.21,0.17,35.68,0.64,2.74,42.52,0.14,32.54,1.96,0.32,1.25,0.82,0.426,5.74,0.27899999999999997,1.46,0.82,3.21,0.93,11.83,25.0
9,27,0,1,0,0.06,0.06,0.15,37.34,0.63,3.98,44.12,0.11,34.1,1.76,0.17,1.25,0.63,0.33299999999999996,4.55,0.256,1.71,0.97,3.76,0.91,10.25,4.0
10,30,1,0,0,0.2,0.0,0.24,23.58,0.59,0.98,30.07,0.2,23.58,1.57,0.2,0.59,0.79,0.5710000000000001,2.95,0.28300000000000003,0.98,1.38,6.09,2.16,5.31,2.0
11,26,1,0,0,0.14,0.0,0.25,19.39,1.56,0.71,25.33,0.14,15.85,3.25,0.14,0.57,0.14,0.125,3.54,0.185,0.85,2.26,3.54,2.83,5.94,3.5
12,23,0,0,1,0.16,0.19,0.27,50.5,1.09,2.28,50.2,0.02,43.24,2.14,0.37,1.21,0.91,0.382,4.51,0.276,1.35,1.09,6.67,1.19,4.95,70.0
13,24,1,0,0,0.17,0.17,0.46,13.07,1.03,0.86,17.19,0.09,12.89,2.15,0.26,0.43,0.0,0.0,3.87,0.281,0.52,1.12,4.56,1.63,3.95,18.0
14,30,0,1,0,0.0,0.0,0.11,41.66,1.34,4.2,46.82,0.0,35.16,2.48,0.0,0.76,1.15,0.429,5.54,0.24,0.57,0.57,3.63,0.76,12.8,2.0
15,33,0,1,0,0.04,0.04,0.18,47.9,0.8,3.07,54.68,0.13,43.15,2.06,0.17,1.64,0.76,0.27699999999999997,6.27,0.336,1.47,0.76,3.96,1.01,9.47,4.0
16,29,0,1,0,0.05,0.05,0.06,45.32,0.65,2.75,46.8,0.02,37.31,1.31,0.12,0.84,0.6,0.51,2.68,0.298,1.79,0.65,4.54,0.74,8.18,10.0
17,25,1,0,0,0.38,0.25,0.46,30.73,1.76,2.57,36.44,0.19,27.97,3.76,0.63,0.44,0.25,0.364,2.32,0.184,0.94,3.45,6.52,3.26,6.71,8.0
18,34,1,0,0,0.18,0.0,0.39,14.54,0.82,1.28,25.43,0.09,10.79,1.65,0.0,0.91,0.18,0.25,5.58,0.33299999999999996,0.73,1.28,1.46,3.2,6.22,0.8
19,26,0,0,1,0.04,0.0,0.04,56.58,0.13,4.88,65.41,0.0,50.28,0.59,0.08,0.84,0.5,0.429,3.15,0.391,2.14,0.46,6.31,0.42,11.14,18.0
20,29,0,0,1,0.04,0.0,0.08,43.63,0.11,1.29,43.96,0.0,38.93,0.54,0.04,0.68,0.25,0.5,3.41,0.365,1.98,0.18,1.76,0.14,8.99,4.0
21,25,1,0,0,0.06,0.06,0.28,20.18,1.83,1.55,28.73,0.03,18.44,4.1,0.25,0.72,0.19,0.33299999999999996,3.45,0.305,0.84,5.29,9.95,3.11,5.88,30.0
22,26,1,0,0,0.34,0.17,0.12,13.1,0.34,0.0,16.67,0.0,11.57,1.02,0.34,1.02,0.68,0.364,4.08,0.25,1.87,1.7,3.23,2.04,3.91,2.5
23,24,1,0,0,0.1,0.13,0.35,29.14,1.94,1.62,34.13,0.19,30.13,3.59,0.32,1.05,0.32,0.278,5.08,0.281,1.46,2.32,6.36,2.51,6.77,11.0
24,19,0,1,0,0.0,0.29,0.33,35.48,2.3,2.99,40.72,0.35,32.15,4.31,0.4,1.27,0.63,0.275,6.33,0.278,0.81,1.5,7.07,2.36,7.02,10.0
25,35,0,0,1,0.18,0.0,0.04,26.93,0.0,1.66,30.8,0.0,22.87,0.37,0.0,0.55,0.74,0.8,2.58,0.5,0.92,0.18,1.11,0.37,5.53,0.25
26,26,1,0,0,0.17,0.25,0.46,30.15,2.53,2.62,36.34,0.37,28.12,4.49,0.62,0.54,0.21,0.263,2.82,0.275,1.08,3.45,8.6,3.24,4.94,12.0
27,22,1,0,0,0.23,0.0,0.31,10.51,0.57,0.23,16.1,0.11,9.14,1.6,0.34,0.34,0.0,0.0,4.57,0.193,0.91,1.14,1.48,1.48,3.31,6.0
28,29,1,0,0,0.0,0.14,0.29,21.21,1.88,1.32,27.96,0.0,18.08,4.1,0.35,0.9,0.77,0.297,3.13,0.231,1.6,1.11,5.56,1.81,7.72,7.0
29,25,0,1,0,0.0,0.0,0.04,36.11,0.27,2.22,40.96,0.13,30.79,0.67,0.07,2.43,1.35,0.47600000000000003,9.23,0.345,1.68,0.34,1.75,1.55,11.05,2.8
30,25,1,0,0,0.3,0.0,0.37,13.77,0.81,0.91,18.12,0.0,12.35,1.42,0.1,0.61,0.3,0.3,3.44,0.214,0.81,0.4,1.52,1.11,4.66,5.0
31,26,0,1,0,0.12,0.12,0.16,45.52,0.44,3.66,49.86,0.03,41.44,1.65,0.27,1.83,0.71,0.444,6.29,0.318,1.95,0.77,4.81,1.12,8.68,30.0
32,32,0,1,0,0.04,0.08,0.06,46.67,0.45,4.37,50.62,0.0,38.39,1.44,0.16,1.65,0.78,0.345,7.54,0.306,2.22,0.54,2.97,1.03,11.29,3.0
33,27,0,1,0,0.11,0.0,0.09,34.37,0.52,3.19,41.15,0.04,29.15,1.37,0.11,1.67,0.7,0.42200000000000004,5.85,0.335,1.67,1.48,3.37,1.04,11.41,6.0
34,28,0,1,0,0.3,0.09,0.47,32.75,1.19,2.9,40.75,0.18,30.81,3.1,0.48,1.31,0.75,0.278,7.7,0.289,1.91,1.19,3.25,1.91,8.81,6.0
35,20,0,0,1,0.09,0.04,0.16,49.61,0.8,2.66,50.32,0.0,41.41,1.51,0.18,1.02,0.71,0.42100000000000004,4.12,0.281,2.44,0.75,7.36,0.84,7.67,12.0
36,29,0,1,0,0.0,0.11,0.15,46.04,1.21,3.52,50.11,0.0,40.99,2.42,0.11,1.32,0.88,0.25,5.6,0.273,0.99,0.66,3.3,1.65,8.13,1.5
37,34,0,0,1,0.0,0.0,0.12,48.09,1.35,3.82,49.55,0.0,29.1,2.13,0.0,1.35,0.56,0.7140000000000001,3.03,0.386,1.57,0.45,4.72,0.79,9.66,0.8
38,24,0,0,1,0.0,0.0,0.06,40.64,0.73,3.0,41.91,0.05,28.93,1.36,0.09,1.0,0.82,0.45,3.86,0.315,1.32,0.91,4.63,0.95,8.95,6.0
